Receiver,Sender,external_exists,external_id,ywp_id,ywp_year,actorID,bc_id,conflictID,bc_name,bwd_id,bwd_name,country1,country2,locationid1,locationid2,external_nameid,external_alleged,external_type_X,external_type_Y,external_type_L,external_type_W,external_type_M,external_type_T,external_type_$,external_type_I,external_type_O,external_type_U,external_type_text,external_type_code
Harakat-i Inqilab-i Islami-yi Afghanistan,Saudi Arabia,1,12,8918,1984,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan,United States,1,13,8918,1984,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan,Pakistan,1,14,8918,1984,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan,China,1,15,8918,1984,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan,Saudi Arabia,1,16,8927,1985,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan,United States,1,17,8927,1985,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan,Pakistan,1,18,8927,1985,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan,China,1,19,8927,1985,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan,United Kingdom,1,20,8927,1985,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,200,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,21,8938,1980,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,22,8938,1980,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,23,8938,1980,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,Egypt,1,24,8938,1980,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,651,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,25,8938,1980,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
Harakat-i Inqilab-i Islami-yi Afghanistan ,Saudi Arabia,1,26,8945,1981,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,670,0,0,0,0,1,0,0,1,0,0,0,"Weapons, Funding/Economic Support",W$
Harakat-i Inqilab-i Islami-yi Afghanistan ,United States,1,27,8945,1981,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,2,0,0,0,0,1,1,0,1,0,0,0,"Weapons, Materiel/Logistics, Funding/Economic Support",WM$
Harakat-i Inqilab-i Islami-yi Afghanistan ,Pakistan,1,28,8945,1981,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,770,0,0,0,0,0,1,1,0,0,0,0,"Materiel/Logistics, Training/Expertise",MT
Harakat-i Inqilab-i Islami-yi Afghanistan ,Egypt,1,29,8945,1981,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,651,0,0,0,0,1,1,1,0,0,0,0,"Weapons, Materiel/Logistics, Training/Expertise",WMT
Harakat-i Inqilab-i Islami-yi Afghanistan ,China,1,30,8945,1981,1135,189,137,Afghanistan,731,Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan ,Afghanistan,,700,0,710,0,0,0,0,1,0,0,0,0,0,0,Weapons,W
